"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SREBF1",10219.360278412,1.21585402726595,0.14464585745435,8.40573002686694,4.25208262250793e-17,7.60442456209318e-13,"Up"
"PRSS56",72.4459001547064,-4.59777176179861,0.667013362110081,-6.89307294722502,5.45998574854628e-12,4.88231925635008e-08,"Down"
"ADAM11",420.778643808777,-2.19577577218549,0.329511304490035,-6.66373427031209,2.66955961791355e-11,1.5715361092849e-07,"Down"
"TDRD12",146.4473730958,-3.5342877259173,0.536298164105974,-6.59015443733443,4.39369299173815e-11,1.5715361092849e-07,"Down"
"CREG2",29.8703695401672,-2.10181243594487,0.317619677545181,-6.61738734888642,3.65602622001825e-11,1.5715361092849e-07,"Down"
"AMER2",109.201580353466,4.09430992145815,0.634299734589767,6.45485044086632,1.08325828716591e-10,3.22883186794586e-07,"Up"
"PCDHGA4",105.205930045227,1.90203555648692,0.307153366821968,6.19246201390126,5.92316274295115e-10,1.51328346421341e-06,"Up"
"KCNMB4",257.497097099959,2.07307219884839,0.342460406720566,6.05346532961381,1.41762594549563e-09,2.81698026769377e-06,"Up"
"MAGEB17",13.8002733836529,2.93965512313163,0.484968268425332,6.06154116572729,1.34823370263567e-09,2.81698026769377e-06,"Up"
"KLK14",100.125178780509,-2.55397332402703,0.433623442281976,-5.88984144996073,3.86566312717544e-09,6.91335193664056e-06,"Down"
"CPED1",193.000374997665,2.05006179705258,0.35707144539096,5.74132102556661,9.39408096619191e-09,1.52730676363069e-05,"Up"
"CDA",787.742590581323,-2.5412948579174,0.445235386021197,-5.70775580222281,1.14475499404747e-08,1.70606652612874e-05,"Down"
"PLB1",319.531712962218,-1.70299312608739,0.299754247868807,-5.68129772370313,1.3367654598553e-08,1.8389779603117e-05,"Down"
"ARHGAP6",129.690734803503,1.85516378245352,0.327372738271967,5.66682428184454,1.45468386421337e-08,1.85825473054228e-05,"Up"
"TEKT5",47.5096061879443,-2.4714855643563,0.442512028612471,-5.58512628934816,2.33530449199597e-08,2.78430570232373e-05,"Down"
"ELF3",144.111036635733,-2.40537116693309,0.441073711014674,-5.45344487069887,4.9403266948054e-08,5.52205016311874e-05,"Down"
"CYSRT1",595.889045517828,-2.18151854644137,0.408374637193866,-5.34195404844829,9.19499666187469e-08,9.55794672117009e-05,"Down"
"GDPD3",180.796768529377,-1.73789571256048,0.325829352683168,-5.33376044315562,9.61994190231836e-08,9.55794672117009e-05,"Down"
"PCDHGB3",25.9082321385065,1.62484942054356,0.307169735740676,5.28974450111623,1.22487342768425e-07,0.000115292823056343,"Up"
"CCN5",1888.24211173895,1.87027204646452,0.355353505431198,5.26313098894315,1.41622600568443e-07,0.000126638929428302,"Up"
"SHANK1",243.010262435582,-2.00723023290579,0.385676337271215,-5.20444227174421,1.94580098021155e-07,0.000162407801701669,"Down"
"GREB1L",43.3183643597354,-2.09948867758299,0.40378380216485,-5.19953664888678,1.99785933652243e-07,0.000162407801701669,"Down"
"RNF145",6133.74494368386,0.708767196550048,0.138413448142532,5.12065269712947,3.04479953876242e-07,0.000236753021527075,"Up"
"SULF1",1850.85788242885,1.2548860181455,0.24591508453424,5.1029241273354,3.34445113149231e-07,0.000249217350148369,"Up"
"ABCG4",106.10647173983,-2.10557142189458,0.417948752539322,-5.03786985629651,4.70741329289656e-07,0.000336749517320648,"Down"
"CNFN",5513.53857006699,-2.71463312166527,0.540438138111343,-5.02302285910472,5.08644879763091e-07,0.000339557434717435,"Down"
"CDH16",4.7893385292166,-2.77364977325667,0.552352554131828,-5.02152068005951,5.12639830986957e-07,0.000339557434717435,"Down"
"C1QTNF12",53.3471449592513,-1.52634911217503,0.307025036625463,-4.9714157807821,6.64657360705126e-07,0.000424526151387517,"Down"
"CCDC78",420.884357576288,-1.23363664070172,0.250447189350344,-4.92573561676515,8.40435703203296e-07,0.000518288004003026,"Down"
